id_camara,LPR,id_camara LPR,Tipo,latitud,longitud
145,,145,Comun,"-38,006956","-57,5871294"
146,,146,Comun,"-38,021045","-57,5685457"
147,,147,Comun,"-38,02293","-57,5658417"
148,,148,Comun,"-38,048782","-57,5869716"
149,,149,Comun,"-38,014031","-57,6122924"
150,,150,LPR,"-37,993565","-57,5875485"
151,,151,Comun,"-38,013544","-57,5568695"
153,,153,Comun,"-37,997898","-57,5612653"
155,,155,Comun,"-38,01391","-57,6207799"
157,,157,Comun,"-37,97174","-57,6038747"
158,,158,Comun,"-38,020584","-57,5880174"
159,,159,Comun,"-37,971686","-57,5996104"
160,,160,Comun,"-37,980502","-57,5529248"
202,,202,Comun,"-37,993096","-57,5503209"
203,,203,Comun,"-38,0085","-57,5401737"
204,,204,Comun,"-38,010088","-57,5371577"
205,,205,Comun,"-38,008686","-57,5332108"
206,,206,Comun,"-38,12185","-57,5974"
207,,207,Comun,"-38,049403","-57,5448539"
208,,208,Comun,"-38,056053","-57,5773125"
209,,209,Comun,"-38,072714","-57,5758628"
210,,210,Comun,"-38,034699","-57,5849654"
211,,211,Comun,"-38,044237","-57,5464008"
213,,213,Comun,"-38,024153","-57,5989053"
214,,214,Comun,"-38,036752","-57,5475286"
216,,216,Comun,"-38,021359","-57,6130298"
217,,217,Comun,"-37,944818","-57,5394133"
219,,219,Comun,"-38,013828","-57,6055768"
223,LPR 1 (SUR),223 LPR 1 (SUR),LPR ,"-38,126321","-57,6021868"
223,,223,Comun,"-38,126321","-57,6021868"
223,,223,Comun,"-38,126321","-57,6021868"
225,,225,Comun,"-38,007046","-57,5914089"
226,LPR 1 (NORTE),226 LPR 1 (NORTE),LPR ,"-38,008918","-57,6138226"
226,,226,Comun,"-38,008918","-57,6138226"
226,,226,Comun,"-38,008918","-57,6138226"
227,,227,Comun,"-38,00129","-57,6204576"
229,,229,Comun,"-37,994797","-57,6307827"
230,,230,Comun,"-37,982117","-57,6101738"
231,,231,Comun,"-37,983852","-57,6022941"
232,,232,Comun,"-38,04321","-57,5683519"
234,,234,Comun,"-37,932482","-57,544313"
235,,235,Comun,"-37,942511","-57,5491996"
236,,236,Comun,"-37,951869","-57,542612"
237,,237,Comun,"-37,961013","-57,5470083"
238,,238,Comun,"-37,952957","-57,5519478"
239,LPR 1 (SUR),239 LPR 1 (SUR),LPR,"-38,093614","-57,5475737"
239,LPR 2  (NORTE),239 LPR 2  (NORTE),LPR ,"-38,093614","-57,5475737"
239,,239,Comun,"-38,093614","-57,5475737"
239,,239,Comun,"-38,093614","-57,5475737"
241,,241,Comun,"-38,058503","-57,5884982"
243,,243,Comun,"-38,068855","-57,5734051"
244,LPR 1 (SUR),244 LPR 1 (SUR),LPR,"-38,060584","-57,5712209"
244,LPR 2 (NORTE),244 LPR 2 (NORTE),LPR ,"-38,060584","-57,5712209"
244,,244,Comun,"-38,060584","-57,5712209"
244,,244,Comun,"-38,060584","-57,5712209"
245,,245,Comun,"-37,956048","-57,5458781"
246,LPR 1 (ESTE),246 LPR 1 (ESTE),LPR,"-37,954129","-57,6365989"
246,,246,Comun,"-37,954129","-57,6365989"
246,,246,Comun,"-37,954129","-57,6365989"
247,,247,Comun,"-37,943563","-57,5579333"
249,,249,Comun,"-37,926128","-57,5454262"
250,,250,Comun,"-37,923892","-57,5427289"
251,,251,Comun,"-37,963093","-57,5406799"
252,,252,Comun,"-37,9638","-57,5435512"
253,,253,Comun,"-37,960764","-57,5496819"
254,,254,Comun,"-37,959905","-57,5646017"
255,,255,Comun,"-37,943851","-57,5699147"
256,,256,Comun,"-37,973508","-57,5601005"
257,,257,Comun,"-37,968805","-57,5561306"
258,,258,Comun,"-37,978244","-57,5639149"
259,,259,Comun,"-37,970982","-57,5651146"
260,,260,Comun,"-37,96642","-57,5740609"
261,,261,Comun,"-37,959651","-57,5742257"
262,,262,Comun,"-37,981392","-57,5443845"
263,,263,Comun,"-37,974225","-57,5520662"
264,,264,Comun,"-37,962255","-57,5734833"
265,,265,Comun,"-37,957379","-57,5765514"
266,,266,Comun,"-37,980841","-57,5588055"
269,,269,Comun,"-38,067086","-57,562523"
270,,270,Comun,"-38,072343","-57,5555167"
271,,271,Comun,"-38,069764","-57,5589575"
272,,272,Comun,"-38,06458","-57,5658831"
273,,273,Comun,"-38,077284","-57,5496172"
274,,274,Comun,"-38,081572","-57,5388552"
275,,275,Comun,"-38,090563","-57,5651871"
276,,276,Comun,"-38,059621","-57,5518873"
277,,277,Comun,"-38,053876","-57,547044"
278,,278,Comun,"-38,065022","-57,5483179"
279,,279,Comun,"-38,052473","-57,5613839"
280,,280,Comun,"-38,053047","-57,5570257"
281,,281,Comun,"-38,05362","-57,5528352"
282,,282,Comun,"-38,055752","-57,5570053"
283,,283,Comun,"-38,06181","-57,5594183"
284,,284,Comun,"-38,056568","-57,5663443"
285,,285,Comun,"-38,049688","-57,558046"
286,,286,Comun,"-38,044304","-57,55148"
287,,287,Comun,"-38,047735","-57,5588991"
288,,288,Comun,"-38,049134","-57,5658079"
289,,289,Comun,"-38,050835","-57,573951"
290,,290,Comun,"-38,047249","-57,5683127"
291,,291,Comun,"-38,044652","-57,5717256"
292,,292,Comun,"-38,048789","-57,5766912"
293,,293,Comun,"-38,040599","-57,5771098"
294,,294,Comun,"-38,042711","-57,5744242"
295,,295,Comun,"-38,039102","-57,5929752"
296,,296,Comun,"-38,035406","-57,5910995"
297,,297,Comun,"-38,045428","-57,5897238"
298,,298,Comun,"-38,037389","-57,5849601"
299,,299,Comun,"-38,040737","-57,5873604"
300,,300,Comun,"-38,039951","-57,5799177"
301,,301,Comun,"-38,04121","-57,5675736"
302,,302,Comun,"-38,041777","-57,561692"
303,,303,Comun,"-38,035753","-57,5747932"
304,LPR 1 (OESTE) MANO LENTA,304 LPR 1 (OESTE) MANO LENTA,LPR,"-37,95795","-57,6266578"
304,LPR 2 (OESTE) MANO RAPIDA,304 LPR 2 (OESTE) MANO RAPIDA,LPR ,"-37,95795","-57,6266578"
304,,304,Comun,"-37,95795","-57,6266578"
304,,304,Comun,"-37,95795","-57,6266578"
305,,305,Comun,"-37,968508","-57,6054788"
308,,308,Comun,"-38,02549","-57,5310174"
309,,309,Comun,"-37,946987","-57,550261"
310,,310,Comun,"-37,951784","-57,6073873"
311,,311,Comun,"-37,95231","-57,6107159"
313,,313,Comun,"-37,961","-57,5979931"
314,,314,Comun,"-37,964217","-57,6006032"
317,,317,Comun,"-37,952561","-57,588342"
319,,319,Comun,"-38,000006","-57,6255826"
321,,321,Comun,"-37,99449","-57,6123229"
322,,322,Comun,"-38,004719","-57,6176658"
323,,323,Comun,"-38,017478","-57,6198932"
324,LPR 1 (SUR) ,324 LPR 1 (SUR) ,LPR,"-38,02059","-57,6035938"
324,LPR 2 (OESTE),324 LPR 2 (OESTE),LPR,"-38,02059","-57,6035938"
324,,324,Comun,"-38,02059","-57,6035938"
324,,324,Comun,"-38,02059","-57,6035938"
325,,325,Comun,"-38,015421","-57,6058552"
326,,326,Comun,"-37,957952","-57,6039632"
327,,327,Comun,"-37,969243","-57,5905714"
328,,328,Comun,"-37,975808","-57,5914817"
329,,329,Comun,"-37,964103","-57,6145542"
330,,330,Comun,"-37,964031","-57,5919961"
331,,331,Comun,"-37,966941","-57,6269055"
332,,332,LPR,"-37,958154","-57,6397427"
333,,333,Comun,"-37,962794","-57,6453511"
334,,334,Comun,"-37,966872","-57,6224621"
335,,335,Comun,"-37,970933","-57,6144444"
336,,336,Comun,"-37,983403","-57,607646"
337,,337,Comun,"-37,986331","-57,6114565"
340,,340,Comun,"-37,981633","-57,5933526"
341,,341,Comun,"-37,971416","-57,5865058"
342,,342,Comun,"-37,985364","-57,5949751"
343,,343,Comun,"-37,992231","-57,6033207"
